order_id,date,customer_id,category,product,region,channel,quantity,unit_price,discount_pct,revenue
ORD01120,2023-01-02,CUST0481,Beauty,Perfume,West,Mobile App,9,77.59,5,663.39
ORD01902,2023-01-03,CUST0464,Electronics,Tablet,South,Mobile App,2,467.84,0,935.68
ORD00904,2023-01-03,CUST0497,Sports,Dumbbells,Central,Mobile App,6,190.34,0,1142.04
ORD01883,2023-01-03,CUST0168,Clothing,T-Shirt,West,In-Store,9,145.27,0,1307.43
ORD01305,2023-01-03,CUST0180,Books,AI Fundamentals,South,In-Store,6,26.43,0,158.58
ORD01506,2023-01-04,CUST0413,Clothing,Jeans,West,Mobile App,5,59.12,15,251.26
ORD00861,2023-01-04,CUST0092,Clothing,T-Shirt,North,Mobile App,2,134.35,0,268.7
ORD01116,2023-01-04,CUST0101,Home & Kitchen,Cookware Set,West,Online,10,274.22,0,2742.2
ORD00575,2023-01-04,CUST0329,Home & Kitchen,Blender,Central,Online,2,135.17,10,243.31
ORD00639,2023-01-04,CUST0392,Electronics,Laptop,Central,Online,8,1078.56,10,7765.63
ORD00668,2023-01-04,CUST0281,Electronics,Tablet,East,Online,10,1237.35,0,12373.5
ORD01060,2023-01-04,CUST0126,Clothing,T-Shirt,West,In-Store,8,130.32,5,990.43
ORD01235,2023-01-04,CUST0341,Sports,Yoga Mat,Central,Online,5,16.76,20,67.04
ORD01298,2023-01-04,CUST0366,Electronics,Tablet,West,Mobile App,4,218.07,20,697.82
ORD00648,2023-01-05,CUST0091,Clothing,Jeans,West,In-Store,3,124.0,5,353.4
ORD00834,2023-01-05,CUST0426,Beauty,Lipstick,North,Online,1,44.46,15,37.79
ORD00281,2023-01-05,CUST0153,Sports,Dumbbells,Central,Mobile App,5,188.27,0,941.35
ORD00492,2023-01-05,CUST0115,Electronics,Tablet,East,Mobile App,3,1384.97,10,3739.42
ORD01164,2023-01-05,CUST0395,Beauty,Perfume,East,In-Store,9,119.78,0,1078.02
ORD01348,2023-01-05,CUST0491,Clothing,T-Shirt,North,Mobile App,10,54.8,0,548.0
ORD00819,2023-01-06,CUST0241,Books,Data Science,West,Mobile App,9,55.18,20,397.3
ORD00811,2023-01-06,CUST0037,Sports,Dumbbells,North,Online,3,68.37,0,205.11
ORD01063,2023-01-06,CUST0368,Books,Business Analytics,Central,Online,8,57.19,0,457.52
ORD01268,2023-01-06,CUST0062,Beauty,Foundation,North,Online,8,40.27,0,322.16
ORD01188,2023-01-06,CUST0129,Home & Kitchen,Cookware Set,North,Mobile App,7,261.06,0,1827.42
ORD01296,2023-01-06,CUST0493,Beauty,Serum,West,Mobile App,8,70.96,20,454.14
ORD01378,2023-01-06,CUST0388,Clothing,Sneakers,East,Online,4,33.84,10,121.82
ORD01405,2023-01-06,CUST0288,Sports,Running Shoes,Central,Online,10,183.83,5,1746.38
ORD00666,2023-01-06,CUST0001,Home & Kitchen,Air Fryer,Central,Online,3,141.3,0,423.9
ORD01432,2023-01-06,CUST0463,Beauty,Foundation,South,Mobile App,3,98.94,0,296.82
